Package Name,repository,Prediction,Malicious_Probability,Package_Type
0x000testqwe-5.20.4,2,Malicious,0.95380163,PyPI
10Cent10-999.0.4,2,Malicious,0.9861411,PyPI
10Cent11-999.0.4,2,Malicious,0.9861411,PyPI
12Cent-999.0.0,2,Malicious,0.7414504,PyPI
aiottp-0.1,2,Benign,0.21253161,PyPI
antchain_sdk_baasplus-1.0.0,2,Malicious,0.9503361,PyPI
aws-login0tool-0.0.14,2,Benign,0.4105943,PyPI
beautifulsoupp-0.1,2,Benign,0.21253161,PyPI
bitcinlib-0.1,2,Benign,0.21253161,PyPI
bitcoilnib-0.1,2,Benign,0.21253161,PyPI
bitcoinliv-4.5.2,2,Malicious,0.5283583,PyPI
cccxt-0.1,2,Benign,0.21253161,PyPI
clicck-0.1,2,Benign,0.21253161,PyPI
clickk-0.1,2,Benign,0.21253161,PyPI
coolrama-0.1,2,Benign,0.21253161,PyPI
craftencode-2.14,2,Malicious,0.57803047,PyPI
fast_backend_builder-0.1.3.51,2,Benign,0.002592566,PyPI
hdc_py-0.1.3,2,Benign,0.054430347,PyPI
mcard-0.1.39,2,Benign,0.004113028,PyPI
moose_lib-0.6.298,2,Benign,0.013007199,PyPI
pandas-3.0.0rc1,2,Benign,0.004273243,PyPI
pygeofilter-0.3.3,2,Benign,0.005480943,PyPI
python_ceair_helper-0.1.4,2,Benign,0.047195178,PyPI
python_invar-0.2.0,2,Benign,0.005815591,PyPI
requests-2.31.0,2,Benign,0.24858612,PyPI
sciv-0.0.78,2,Benign,0.0049246415,PyPI
typerconf-2.10,2,Benign,0.47204852,PyPI
unxt_hypothesis-1.8.0,2,Benign,0.014453414,PyPI
vibego-1.3.24,2,Benign,0.010532579,PyPI
vorp-0.1.11,2,Benign,0.01837934,PyPI
